gene_id	score
MGST1	1.78495664193963000e-03
CRY1	-3.454009393960860000e-04
NFIX	-1.344576881115000e-03
ST3GAL1	-1.68204541576999000e-03
MMP25	3.18565243563788000e-03
IL32	-8.894082542161190000e-04
PKD1	-3.112002712408550000e-04
MAPK8IP2	3.853513257692160000e-04
MED24	-9.0627778189168e-05
RHOBTB2	-6.313240258547330000e-04
HEATR5B	-1.09071112474420000e-04
SEC62	-1.672313589067550000e-04
RPS20	-1.668429569479310000e-04
CSDE1	6.39321323297859e-05
UBE3C	1.848152599456610000e-04
REV3L	-1.03883553669701000e-03
FAM76A	5.962425397514510000e-04
POMT2	-4.796709531531990000e-04
VTA1	2.735566083745950000e-04
MLXIPL	2.09231589770986000e-03
BAZ1B	2.17060361655420000e-04
RANBP9	-4.077159976408330000e-04
SPRTN	1.345604503268140000e-04
METTL13	1.02076566173625000e-03
DYRK4	-7.201273874866070000e-04
ZNF207	3.147899291934260000e-04
UQCRC1	-6.24488980399855e-05
STARD3NL	-4.569794257276870000e-04
CD9	1.49817347477787000e-03
NCAPD2	4.609619263097180000e-04
IFFO1	-1.426569237323130000e-04
GIPR	-2.13950309870977000e-03
PHF7	4.273605396194050000e-04
NISCH	-5.434028622513630000e-04
FUZ	3.554621500995370000e-04
IDS	-9.882727061406190000e-04
PRSS3	2.476275673376770000e-04
ZNF200	2.228737303462630000e-04
CD4	1.98805867071376000e-03
LRRC23	-1.32451269002681000e-03
SCMH1	-4.428142713085620000e-04
FYN	-2.558242975413260000e-04
HIVEP2	2.523962845003210000e-04
FMO1	-9.663756734190220000e-04
ELOA	5.285387413379060000e-04
LYPLA2	4.721434380805210000e-04
CLCN6	3.012327867456030000e-04
MRC2	-2.9812001594154000e-03
NME1-NME2	8.20399648752714e-05
TSPAN9	-7.724897913665730000e-04
BTBD7	1.339929754607570000e-04
APBA3	6.56296526816962e-05
MKS1	-3.110300934004720000e-04
ABHD5	6.480673175645560000e-04
ANOS1	1.63049845013504000e-03
AKAP8L	-3.044669953795590000e-04
MBTD1	9.945401581956950000e-04
UTP18	9.592479500817440000e-04
RNF216	-5.615819909807030000e-04
TTC19	5.619450498144790000e-04
PTBP1	7.69791389369024e-05
DPF1	1.40958385651153000e-03
SYT7	1.27218571472746000e-03
LARS2	1.0581786402745000e-03
PIK3C2A	4.750786156624810000e-04
PLAUR	-7.179310337618230000e-04
ANLN	2.598024512511130000e-04
WIZ	-2.152430886772230000e-04
RABGAP1	-1.708489159636860000e-04
DCN	-4.8734789806239000e-03
QPCTL	6.764613844352060000e-04
PPP5C	3.164056226195150000e-04
CEP68	7.62256024906030000e-04
MAP4K3	3.058953683269860000e-04
TMEM159	8.769502450716570000e-04
GABRA3	2.53058534640714000e-03
BRCA1	7.474471724542290000e-04
ERCC1	-6.118681131517470000e-04
MBTPS2	-3.112240303942450000e-04
PRICKLE3	4.493758544177810000e-04
EXTL3	2.699823161563820000e-04
ELOVL5	5.391251289408020000e-04
KDM5D	-2.067905837020620000e-04
